,vectorName,vectorAddress,postal_code,lat,lon
33,Bank of China,"83 Punggol Central, #01-16 Waterway Point Shopping Centre, Singapore 828761",Singapore 828761,1.352083,103.819836
34,Bank Of China,"302 Tiong Bahru Road # 01- 168732, 127 Tiong Bahru Rd, Singapore 168732",Singapore 168732,1.286145,103.827342
35,Bank of China,"3 Gateway Drive, #04-30/31 Westgate, Singapore 608532",Singapore 608532,1.352083,103.819836
36,Bank Of China,"#03-02 AMK Hub, 53 Ang Mo Kio Ave 3, Singapore 569933",Singapore 569933,1.369017,103.848122
37,Bank of China,"1 Woodlands Square, #B1-12 Causeway Point, Singapore 738099",Singapore 738099,1.435855,103.786222
38,Bank Of China Nominees Pte Ltd,Fax  4 Battery Rd #04-00 Bank of China Bldg Singapore 049908,Singapore 049908,1.285576,103.852229
39,"Bank Of East Asia, Ltd The",60 Robinson Rd #07-00 BEA Bldg Singapore 068892,Singapore 068892,1.280664,103.849728
40,Bank Of India,"158 Cecil St, Singapore 069545",Singapore 069545,1.279697,103.848111
41,Bank Of New Zealand,"Temasek Blvd, Singapore 038985",Singapore 038985,1.294414,103.858096
42,Bank Of Nova Scotia The,1 Raffles Quay #20-01 One Raffles Quay Singapore 048583,Singapore 048583,1.281142,103.851928
43,Bank Of Singapore Ltd,9 Raffles Pl #08-01 Republic Plaza Singapore 048619,Singapore 048619,1.283242,103.850837
44,Bank Of Taiwan,80 Raffles Pl #28-20 UOB Plaza 1 Singapore 048624,Singapore 048624,1.285361,103.85054
45,Bank Of Western Australia Ltd,"Singapore Land Tower #16-06, 50 Raffles Place (S)048623, Singapore 048623",Singapore 048623,1.284542,103.851951
46,Banpu Minerals (S) Pte Ltd,20 Malacca St #04-00 Malacca Centre Singapore 048979,Singapore 048979,1.283915,103.850606
47,Banque Cantonale Vaudoise,"Suntec Tower One #32-01, 7 Temasek Boulevard (S)038987, Singapore 038987",Singapore 038987,1.295285,103.85852
48,Banque Transatlantique,"63 Market St, Singapore 048942",Singapore 048942,1.2842692,103.8504456
49,Barclays Bank Plc,"2 Tai Seng Ave, Singapore 534408",Singapore 534408,1.336444,103.893493
50,Barclays Bank Plc S'pore Branch,1 Raffles Quay #28-00 One Raffles Quay Singapore 048583,Singapore 048583,1.281142,103.851928
51,Barclays Capital Services Ltd S'pore Branch,3 Church St #10-00 Samsung Hub Singapore 049483,Singapore 049483,1.283276,103.849632
52,Bayerische Landesbank,"1 Beach Rd, Singapore 199555",Singapore 199555,1.301012,103.862214
53,Bil Asia Singapore Limited,"3 Raffles Pl, Republic Plaza, Singapore 048619",Singapore 048619,1.283242,103.850837
54,BNP Paribas,"20 Collyer Quay, Singapore 049319",Singapore 049319,1.284544,103.852803
55,BNP Paribas,20 Collyer Quay #05-00  Singapore 049319,Singapore 049319,1.284544,103.852803
56,BNP Paribas Wealth Management,10 Collyer Quay #35-01 Ocean Financial Centre Singapore 049315,Singapore 049315,1.283028,103.852016
57,Bonus Investments Pte Ltd,605A MacPherson Rd #08-07C Citimac Ind Complex Singapore 368240,Singapore 368240,1.333533,103.887855
58,Brian Chang Holdings (S) Pte Ltd,20 Sin Ming Lane #03-54 Midview City Singapore 573968,Singapore 573968,1.358146,103.833392
59,BSI Bank Ltd,7 Temasek Blvd #32-01 Suntec Tower One Singapore 038987,Singapore 038987,1.295285,103.85852
60,Burgdorf Pte Ltd,1 Coleman St #06-01 The Adelphi Singapore 179803,Singapore 179803,1.291359,103.851346
61,Canadian Imperial Bank Of Commerce,1 Raffles Pl #12-64 One Raffles Pl Singapore 048616,Singapore 048616,1.284479,103.851082
62,Canadian Imperial Bank Of Commerce,"2 Corporation Rd, Singapore 618494",Singapore 618494,1.325076,103.719871
63,Capital Alliance Credit,Singapore 534626,Singapore 534626,1.353469,103.8788469
64,Capital International Inc,1 Raffles Quay #33-01 One Raffles Quay Singapore 048583,Singapore 048583,1.281142,103.851928
65,Car Rental SG Pte. Ltd.,"45 MacPherson Rd, Singapore 348469",Singapore 348469,1.328539,103.870237
66,Cash Direct,"442 Clementi Ave 3, Singapore 120442",Singapore 120442,1.313808,103.764264
67,Cathay United Bank,6 Raffles Quay #20-06  Singapore 048580,Singapore 048580,1.281712,103.851423
68,Cathay United Bank,"6 Raffles Quay, Singapore 048580",Singapore 048580,1.281712,103.851423
69,Ceic Data (Sg) Pte Ltd,180B Bencoolen St #10-01 The Bencoolen Singapore 189648,Singapore 189648,1.301841,103.8529
70,Chang Hwa Commercial Bank Ltd,1 Finlayson Green #08-00 One Finlayson Green Singapore 049246,Singapore 049246,1.282497,103.851439
71,China Citic Bank International Ltd S'pore Branch,8 Marina View #28-02 Asia Sq Tower 1 Singapore 018960,Singapore 018960,1.278968,103.851237
72,Chinatrust Commercial Bank,"Raffles Pl, Singapore 048616",Singapore 048616,1.284479,103.851082
73,Citibank N A,1 Temasek Ave #07-00 Millenia Tower Singapore 039192,Singapore 039192,1.292612,103.86031
74,Citibank Singapore Limited,1 Shenton Way #02-03 Robina Hse Singapore 068803,Singapore 068803,1.279447,103.8505069
75,Citic Bank International Limited,"8 Marina View, Asia Square Tower 1, Singapore 018960",Singapore 018960,1.278968,103.851237
76,Citicorp Investment Bank (Singapore) Limited,"8 Marina View, Asia Square Tower 1, Singapore 018960",Singapore 018960,1.278968,103.851237
77,Commerzbank AG,"71 Robinson Road #12-01, Singapore 068895",Singapore 068895,1.278545,103.8487789
78,Commerzbank Aktiengesellschaft,8 Shenton Way #42-01 AXA Tower Singapore 068811,Singapore 068811,1.275386,103.8472589
79,Credit Agricole Corporate & Investment Bank,168 Robinson Rd #23-00 Capital Tower Singapore 068912,Singapore 068912,1.27757,103.847334
80,Credit Agricole Corporate and Investment Bank,"168 Robinson Rd, Capital Tower, Singapore 068912",Singapore 068912,1.27757,103.847334
81,Credit Industriel Et Commercial,"12 Marina Boulevard, #37-01, Marina Bay Financial Centre Tower 3, 018982",Singapore 018982,1.2804899,103.853496
82,Ctbc Bank Co Ltd,8 Marina View #29-03 Asia Sq Tower 1 Singapore 018960,Singapore 018960,1.278968,103.851237
83,Daryl Peterson International,"150 South Bridge Rd, Singapore 058727",Singapore 058727,1.285134,103.846524
84,Deutsche Bank AG,"One Raffles Quay, South Tower Level 17, Singapore 048583",Singapore 048583,1.281142,103.851928
85,Deutsche Bank AG,1 Raffles Quay #17-00 One Raffles Quay Singapore 048583,Singapore 048583,1.281142,103.851928
86,Development Bank Of Japan,"9 Raffles Pl, Republic Plaza, Singapore 048619",Singapore 048619,1.283242,103.850837
87,DVB Bank SE S'pore Branch,77 Robinson Rd #30-02 Robinson 77 Singapore 068896,Singapore 068896,1.277817,103.848337
88,DVB Group Merchant Bank (Asia) Ltd,"77 Robinson Rd, Singapore 068896",Singapore 068896,1.277817,103.848337
89,DZ Bank AG Deutsche Zentral-Genossenschaftsbank,50 Raffles Pl #43-01 Singapore Land Tower Singapore 048623,Singapore 048623,1.284542,103.851951
90,Eastspring Investments (S) Ltd,10 Marina Blvd #31-00 Marina Bay Financial Centre Singapore 018983,Singapore 018983,1.2794239,103.854182
91,Emvertex Credit,"Jln Sultan, Singapore 199018",Singapore 199018,1.303499,103.861257
92,Europarts International Pte Ltd,39A Jln Pemimpin #04-02C Halcyon Bldg Singapore 577183,Singapore 577183,1.349637,103.840559
93,Fairview Investments Pte Ltd,19 Chancery Lane   Singapore 309509,Singapore 309509,1.3206039,103.836812
94,FIL Investment Management (Singapore) Limited,8 Marina View #35-06 Asia Sq Tower 1 Singapore 018960,Singapore 018960,1.278968,103.851237
95,First Commercial Bank Ltd,77 Robinson Rd #01-01 Robinson 77 Singapore 068896,Singapore 068896,1.277817,103.848337
96,Fortis Bank S A/N V,63 Market St #21-01 Bank of S'pore Centre Singapore 048942,Singapore 048942,1.284318,103.850605
97,G. Pereira Investments Pte Ltd,845 Geylang Rd #04-17 Tg Katong Complex Singapore 400845,Singapore 400845,1.3164419,103.894357
98,G.K. Goh Holdings Ltd,50 Raffles Pl #33-00 Singapore Land Tower Singapore 048623,Singapore 048623,1.284542,103.851951
99,Goldhill Resources Pte Ltd,7 Jln Lembah Kallang   Singapore 339563,Singapore 339563,1.315536,103.862136
100,Great Wall Enterprise Investment Pte Ltd,29 Sg Kadut St 4   Singapore 729054,Singapore 729054,1.42199,103.7447229
101,Hc Abaca (S) Pte Ltd,65 Tras St   Singapore 079004,Singapore 079004,1.2777289,103.844451
102,Healthsciences International Pte Ltd,290 Orchard Rd #07-11/12 Paragon Singapore 238859,Singapore 238859,1.30451,103.836184
103,Hiap Sin Credit Pte Ltd,"845 Geylang Rd, Singapore 400845",Singapore 400845,1.3164419,103.894357
104,HL Bank,1 Wallich St #29-01 Guoco Tower Singapore 078881,Singapore 078881,1.352083,103.819836
105,Hongkong And Shanghai Banking Corpn Ltd The,21 Collyer Quay #12-00 HSBC Bldg Singapore 049320,Singapore 049320,1.28512,103.85288
106,HSBC Institutional Trust Services (S) Ltd,21 Collyer Quay #01-01 HSBC Bldg Singapore 049320,Singapore 049320,1.28512,103.85288
107,HSH Nordbank AG,3 Temasek Ave #32-00 Centennial Tower Singapore 039190,Singapore 039190,1.293309,103.860354
108,HSH Nordbank AG,"#33-00 Centennial Tower 3 Temasek Avenue, Singapore 039190",Singapore 039190,1.293309,103.860354
109,Hua Nan Commercial Bank Ltd,80 Robinson Rd #14-03  Singapore 068898,Singapore 068898,1.280128,103.84938
110,Hyakugo Bank Ltd The,"20 Collyer Quay, Singapore 049319",Singapore 049319,1.284544,103.852803
111,IASCO Global Pte. Ltd.,"333 North Bridge Rd, Singapore 188721",Singapore 188721,1.295896,103.853543
112,Icici Bank Ltd,31 Tampines Ave 4 #05-01  Singapore 529680,Singapore 529680,1.3519969,103.942355
113,Indian Bank,"3 Raffles Pl, Singapore 048617",Singapore 048617,1.283426,103.851155
114,Indian Bank,"3 Raffles Pl, Singapore 048617",Singapore 048617,1.283426,103.851155
115,Indian Overseas Bank,64 Cecil St #02-00 IOB Bldg Singapore 049711,Singapore 049711,1.282026,103.849453
116,Industrial & Commercial Bank Of China Ltd,6 Raffles Quay #12-01  Singapore 048580,Singapore 048580,1.281712,103.851423
117,ING Bank N V,15 Pioneer Wlk   Singapore 627753,Singapore 627753,1.321231,103.695034
118,Insmart Credit,"195 Pearl's Hill Terrace, Singapore 168976",Singapore 168976,1.284053,103.841318
119,Intesa Sanpaolo S.p.A,6 Temasek Blvd #42-04/05 Suntec Tower Four Singapore 038986,Singapore 038986,1.294611,103.859656
120,Japan Bank For International Cooperation,"9 Raffles Pl, Singapore 048619",Singapore 048619,1.283242,103.850837
121,Jaya Tropical Pte Ltd,3 Shenton Way #08-01 Shenton Hse Singapore 068805,Singapore 068805,1.278542,103.850011
122,Jinli Investment Pte. Ltd.,171 Tras St #05-173 Union Bldg Singapore 079025,Singapore 079025,1.274364,103.843877
123,Jp Pepperdine Group Pte Ltd,Fax  123 Defu Lane 10  Jack's Place Bldg Singapore 539232,Singapore 539232,1.356765,103.89355
124,Kabayan Remittance Pte Ltd,Fax  304 Orchard Rd #03-26 Lucky Plaza Singapore 238863,Singapore 238863,1.30436,103.833751
125,Kairon Services,"28C Penjuru Cl, Singapore 609131",Singapore 609131,1.3130329,103.7339949
126,Karthik Money Lending,"238 Serangoon Rd, Singapore 218085",Singapore 218085,1.309701,103.853933
127,Kastech Investments Pte Ltd,275C New Bridge Rd   Singapore 088750,Singapore 088750,1.282343,103.842189
128,KBC Bank N V,9 Raffles Pl #14-20 Republic Plaza Singapore 048619,Singapore 048619,1.283242,103.850837
129,Keb Hana Bank,30 Cecil St #24-03 Prudential Tower Singapore 049712,Singapore 049712,1.282756,103.849922
130,Kfw Ipex-Bank Gmbh,6 Shenton Way #20-11 OUE Downtown Tower 2 Singapore 068809,Singapore 068809,1.276805,103.848363
131,Kggd Pte Ltd,8 Burn Rd #17-14 Trivex Singapore 369977,Singapore 369977,1.335497,103.885304
132,Kim Seng Holdings Pte Ltd,25 Bt Batok Cres #09-01  Singapore 658066,Singapore 658066,1.352083,103.819836
133,Kp Investments Pte Ltd,Blk 10 Jln Batu #03-14  Singapore 431010,Singapore 431010,1.301943,103.882927
134,Kreta Investments Pte. Ltd.,160 Robinson Rd #13-06 Singapore Business Frderation Ctr Singapore 068914,Singapore 068914,1.352083,103.819836
135,Land Bank Of Taiwan,80 Raffles Pl #34-01 UOB Plaza 1 Singapore 048624,Singapore 048624,1.285361,103.85054
136,Land Bank Of The Philippines,"One Shenton #17-02, 1 Shenton Way (S)068803, Singapore 068803",Singapore 068803,1.279447,103.8505069
137,Landesbank Baden-wurttemberg,"25 International Business Park, Singapore 609916",Singapore 609916,1.324738,103.746782
138,Leap International Pte. Ltd.,Fax  170 Up Bt Timah Rd #13-04 Bt Timah Shopping Centre Singapore 588179,Singapore 588179,1.343236,103.775833
139,Lion Global Investors Ltd,65 Chulia St #30-00 O C B C Centre Singapore 049513,Singapore 049513,1.285398,103.84953
140,Loan Matters Pte Ltd,"12 Prince Edward Rd, Singapore 079212",Singapore 079212,1.274216,103.848255
141,Lts Land Pte Ltd,135 Geylang Rd #01-00  Singapore 389226,Singapore 389226,1.311077,103.873936
142,Malayan Banking Bhd,1 Ang Mo Kio St 64 #02-00  Singapore 569083,Singapore 569083,1.387244,103.849181
143,Mega International,"80 Raffles Pl, #23-20 UOB Plaza II, Singapore 048624",Singapore 048624,1.285361,103.85054
144,Mega International Commercial Bank Co Ltd,80 Raffles Pl #23-20 UOB Plaza 2 Singapore 048624,Singapore 048624,1.285361,103.85054
145,Merrill Lynch International Bank Limited,"50 Collyer Quay, #14-01, OUE Bayfront, Singapore 049321",Singapore 049321,1.283026,103.852791
146,Merrill Lynch International Bank Ltd (Merchant Bank),Fax  2 Raffles Link #03-00 Marina Bayfront Singapore 039392,Singapore 039392,1.291042,103.856448
147,Mizuho Bank Ltd,51 Serangoon Nth Ave 4   Singapore 555858,Singapore 555858,1.352083,103.819836
148,Money3 Pte. Ltd.,"3 Temasek Avenue, #21-88, Centennial Tower, Singapore 039190",Singapore 039190,1.293309,103.860354
149,Montego (S) Pte Ltd,38 Jln Pemimpin #07-09  Singapore 577178,Singapore 577178,1.348627,103.841549
150,National Australia Bank Ltd,12 Marina View #20-02 Asia Sq Tower 2 Singapore 018961,Singapore 018961,1.278295,103.850662
151,National Bank Of Abu Dhabi P.J.S.C. S'pore Branch,3 Temasek Ave #25-02 Centennial Tower Singapore 039190,Singapore 039190,1.293309,103.860354
152,National Westminster Bank PLC,"50 Raffles Pl, Singapore 048623",Singapore 048623,1.2847487,103.8519923
153,Networth Consulting Pte Ltd,Fax  51 Scotts Rd #03-01  Singapore 228241,Singapore 228241,1.312101,103.837321
154,New Credit LLP,"27 Foch Rd, Singapore 209264",Singapore 209264,1.3123419,103.85994
155,Nn Investment Partners (S) Ltd,10 Marina Blvd #31-01 Marina Bay Financial Centre Singapore 018983,Singapore 018983,1.2794239,103.854182
156,Norddeutsche Landesbank Girozentrale,138 Market St #36-03 CapitaGreen Singapore 048946,Singapore 048946,1.28218,103.849896
157,Nordea Bank Ab S'pore Branch,138 Market St #09-01/02 CapitaGreen Singapore 048946,Singapore 048946,1.2819014,103.8499385
158,Nordea Bank Finland PLC,138 Market St #09-00 CapitaGreen Singapore 048946,Singapore 048946,1.2819014,103.8499385
159,Nordea Bank S.A.,138 Market St #09-03 CapitaGreen Singapore 048946,Singapore 048946,1.2819014,103.8499385
160,NTUC INCOME Enterprises Pte Ltd,75 Bras Basah Rd #01-00 NTUC Income Centre Singapore 189557,Singapore 189557,1.296451,103.851586
161,OCBC Bank,65 Chulia St #01-00 O C B C Centre Singapore 049513,Singapore 049513,1.285398,103.84953
162,Oldendorff Carriers (S) Pte Ltd,50 Raffles Pl #42-04 Singapore Land Tower Singapore 048623,Singapore 048623,1.284542,103.851951
163,Ong Pacific Pte Ltd,2 Leng Kee Rd #06-05 Thye Hong Centre Singapore 159086,Singapore 159086,1.290982,103.814894
164,Oversea-Chinese Banking Corpn Ltd,65 Chulia St #01-00 O C B C Centre Singapore 049513,Singapore 049513,1.285398,103.84953
165,Oversea-Chinese Banking Corporation Limited,"Tampines Ave 4, Singapore 529680",Singapore 529680,1.3519969,103.942355
166,Overseas Union Bank,"146 Robinson Rd, Singapore 068909",Singapore 068909,1.277954,103.848108
167,Philippine National Bank,304 Orchard Rd #03-02 Lucky Plaza Singapore 238863,Singapore 238863,1.30436,103.833751
168,Poly Beauty Sothys,"1 Harbour Front Walk, #02-233, Vivo City, Singapore 098632",Singapore 098632,1.265032,103.818292
169,POSB,"176 Orchard Rd, #01-27 The Centrepoint, Singapore 238843",Singapore 238843,1.301949,103.839829
170,Posb,"Block 37, Teban Gardens Road, Singapore 600037",Singapore 600037,1.320589,103.742501
171,POSB,"6 Ave 2 #01-01, Potong Pasir Community Centre 358361, Potong Pasir Ave 1",Singapore 358361,1.332691,103.867251
172,Posb,"48 Boon Lay Way, Singapore 609961",Singapore 609961,1.330888,103.748645
173,POSB,"12 Toh Guan Rd E, Singapore 608588",Singapore 608588,1.336393,103.751566
174,POSB,"21 Jurong East Street 13, Singapore 609646",Singapore 609646,1.335135,103.739645
175,POSB,"153 Bukit Batok West Street 11, #01-290/292, Singapore 650153",Singapore 650153,1.347569,103.744289
176,POSB,"Blk 260 Bangkit Road #01-15, Singapore 670260",Singapore 670260,1.377701,103.774089
177,POSB,"Blk 926 Yishun Central 1, #01-183, Singapore 760926",Singapore 760926,1.427895,103.837806
178,POSB,"303 Woodlands Street 31, Singapore 730303",Singapore 730303,1.430999,103.7740029
179,Posb,"101 Yishun Ave 5, Singapore 760101",Singapore 760101,1.4306319,103.8276489
180,Posb,"644 Ang Mo Kio Ave 4, Singapore 560644",Singapore 560644,1.379137,103.840956
181,POSB,"61 Choa Chu Kang Drive, #01-04 Yew Tee MRT Station, Singapore 689715",Singapore 689715,1.397314,103.74739
182,PR Veerappa Chettiar,"77 High St, Singapore 179433",Singapore 179433,1.290516,103.849283
183,Probus Advisory Pte Ltd,175A Bencoolen St #10-11 Burlington Sq Singapore 189650,Singapore 189650,1.3020179,103.852486
184,Qatar National Bank S.A.Q. S'pore Branch,3 Temasek Ave #27-01 Centennial Tower Singapore 039190,Singapore 039190,1.293309,103.860354
185,Rabobank,38 Beach Rd #31-11  Singapore 189767,Singapore 189767,1.2958386,103.8563291
186,Raf Credit,"195 Pearl's Hill Terrace, Singapore 168976",Singapore 168976,1.284053,103.841318
187,RHB Bank Berhad,90 Cecil St #01-00 RHB Bank Bldg Singapore 069531,Singapore 069531,1.281452,103.849209
188,Rohato Investments Pte Ltd,301 Geylang Rd   Singapore 389344,Singapore 389344,1.312545,103.878641
189,Royal Bank Of Canada,8 Marina View #26-00 Asia Sq Tower 1 Singapore 018960,Singapore 018960,1.278968,103.851237
190,Royal Bank Of Canada,"8 Marina View, #26-01 Asia Square Tower 1, Singapore 018960",Singapore 018960,1.278968,103.851237
191,Royal Bank Of Scotland plc The,1 Raffles Quay #21-00 One Raffles Quay Singapore 048583,Singapore 048583,1.281142,103.851928
192,Sakari Resources Ltd,391B Orchard Rd #17-01-04 Ngee Ann City-Tower B Singapore 238874,Singapore 238874,1.302707,103.834289
193,SAM Singpost,"53 Ang Mo Kio Ave 5, Singapore 569878",Singapore 569878,1.376395,103.843181
194,Seroja Investments Ltd,15 Scotts Rd #08-05 Thong Teck Bldg Singapore 228218,Singapore 228218,1.307909,103.832893
195,SG Debt Buster,"400 Orchard Rd, 13-07, Singapore 238875",Singapore 238875,1.306991,103.828903
196,Shanghai Pudong Development Bank Co Ltd. Spore Branch,12 Marina Blvd #34-01 Marina Bay Financial Centre Singapore 018982,Singapore 018982,1.2804899,103.853496
197,Shinhan Bank,"1 George Street #15-03, Singapore 049145",Singapore 049145,1.28566,103.847861
198,Shree Rai,"25 Duxton Rd, Singapore 089489",Singapore 089489,1.279303,103.843408
199,Sin Eng Leong Enterprise Pte Ltd,29 Mandai Est #02-09 Innovation Pl Singapore 729932,Singapore 729932,1.405389,103.7585919
200,Sin Heng Chan (1960) Pte Ltd,19 Rochalie Dr   Singapore 248250,Singapore 248250,1.301406,103.821246
201,Skandinaviska Enskilda Banken,50 Collyer Quay #12-03/04 OUE Bayfront Singapore 049321,Singapore 049321,1.283026,103.852791
202,Skandinaviska Enskilda Banken,"50 Raffles Place, Singapore 048623",Singapore 048623,1.284542,103.851951
203,Societe Generale,8 Marina Blvd #07-01 Marina Bay Financial Centre Singapore 018981,Singapore 018981,1.279637,103.854149
204,Southern Bank Berhad,"50 Raffles Pl, Singapore 048623",Singapore 048623,1.284542,103.851951
205,Standard Bank PLC,"George St, Singapore 049145",Singapore 049145,1.28566,103.847861
206,Standard chart,"3 Tampines Central 1, #01-01 Abacus Plaza, Singapore 529540",Singapore 529540,1.352584,103.943035
207,Standard Chartered Bank,6 Battery Rd #06-00  Singapore 049909,Singapore 049909,1.285539,103.851667
208,Standard Chartered Bank (S) Ltd,20 Jln Afifi #05-02 CISCO Centre Singapore 409179,Singapore 409179,1.3224149,103.892082
209,State Bank Of India,"Blk 83 Marine Parade Central #01-564, Singapore 440083",Singapore 440083,1.301769,103.906719
210,State Bank Of India,"135 Cecil St #01-00, Singapore 069536",Singapore 069536,1.279975,103.848701
211,State Bank of India,"24 Verdun Road, Singapore 207282",Singapore 207282,1.310268,103.856438
212,State Bank Of India,"677 Rangoon Rd #01-02, Singapore 210677",Singapore 210677,1.312467,103.854973
213,State Bank of India,"Block 131 Jurong Gateway Road #01-265, Singapore 600131",Singapore 600131,1.334749,103.740062
214,State Bank Of India,135 Cecil St #01-01 MYP Plaza Singapore 069536,Singapore 069536,1.279975,103.848701
215,State Street Bank & Trust Co,168 Robinson Rd #33-01 Capital Tower Singapore 068912,Singapore 068912,1.27757,103.847334
216,Sun Continental Investment & Trading Pte Ltd,149 Rochor Rd #05-15 Fu Lu Shou Complex Singapore 188425,Singapore 188425,1.301531,103.854515
217,Surrey Development Pte. Ltd.,4 Short St   Singapore 188212,Singapore 188212,1.302094,103.850331
218,Svenska Handelsbanken,"65 Chulia Street, #21-01/04 OCBC Centre, Singapore 049513",Singapore 049513,1.285398,103.84953
219,T.S.T. Holdings Pte Ltd,43 Hongkong St   Singapore 059682,Singapore 059682,1.287287,103.847665
220,Taipei Fubon Commercial Bank Co Ltd. S'pore Branch,1 Raffles Quay #19-03 One Raffles Quay Singapore 048583,Singapore 048583,1.281142,103.851928
221,Tang Hotel Investments Pte Ltd,333 New Bridge Rd #01-00  Singapore 088765,Singapore 088765,1.352083,103.819836
222,The Asahi Bank Ltd,"Millenia Tower #40-01, 1 Temasek Avenue (S), Singapore 039192",Singapore 039192,1.292612,103.86031
223,The Bank Of Fukuoka Ltd,1 George St #17-05 One George St Singapore 049145,Singapore 049145,1.28566,103.847861
224,The Bank Of Tokyo-Mitsubishi Ufj Ltd. S'pore Branch,9 Raffles Pl #05-00 Republic Plaza Singapore 048619,Singapore 048619,1.283242,103.850837
225,The Hachijuni Bank Ltd,16 Raffles Quay #15-05 Hong Leong Bldg Singapore 048581,Singapore 048581,1.281304,103.850834
226,The Islamic Bank Of Asia Limited,"6 Shenton Way, Singapore 068809",Singapore 068809,1.276805,103.848363
227,The Iyo Bank Ltd. S'pore Branch,8 Marina View #15-02 Asia Sq Tower 1 Singapore 018960,Singapore 018960,1.278968,103.851237
228,"The Iyo Bank, Ltd","Chulia St, Singapore 049513",Singapore 049513,1.285398,103.84953
229,The Korea Development Bank,Fax  8 Shenton Way #07-01/02 AXA Tower Singapore 068811,Singapore 068811,1.275386,103.8472589
230,The Norinchukin Bank,"1 Raffles Pl, Singapore 048624",Singapore 048624,1.285361,103.85054
